state,state_code,state_type,district,district_code,latitude,longitude
Andhra Pradesh,AP,State,Ananthapuramu,AP-ANA,14.6819,77.6006
Andhra Pradesh,AP,State,Chittoor,AP-CHI,13.2172,79.1003
Andhra Pradesh,AP,State,East Godavari,AP-EAS,17.0005,81.804
Andhra Pradesh,AP,State,Guntur,AP-GUN,16.3067,80.4365
Andhra Pradesh,AP,State,Krishna,AP-KRI,16.1875,81.1389
Andhra Pradesh,AP,State,Kurnool,AP-KUR,15.8281,78.0373
Andhra Pradesh,AP,State,Prakasam,AP-PRA,15.5057,80.0499
Andhra Pradesh,AP,State,Srikakulam,AP-SRI,18.2949,83.8938
Andhra Pradesh,AP,State,Sri Potti Sriramulu Nellore,AP-SRI,14.4426,79.9865
Andhra Pradesh,AP,State,Visakhapatnam,AP-VIS,17.6868,83.2185
Andhra Pradesh,AP,State,Vizianagaram,AP-VIZ,18.1067,83.3956
Andhra Pradesh,AP,State,West Godavari,AP-WES,16.7107,81.0952
Andhra Pradesh,AP,State,YSR Kadapa,AP-YSR,14.4673,78.8242
Andhra Pradesh,AP,State,NTR,AP-NTR,16.5062,80.648
Andhra Pradesh,AP,State,Bapatla,AP-BAP,15.9042,80.4674
Andhra Pradesh,AP,State,Palnadu,AP-PAL,16.18,80.14
Andhra Pradesh,AP,State,Tirupati,AP-TIR,13.6288,79.4192
Andhra Pradesh,AP,State,Annamayya,AP-ANN,14.05,78.75
Andhra Pradesh,AP,State,Sri Sathya Sai,AP-SRI,14.167,77.81
Andhra Pradesh,AP,State,Nandyal,AP-NAN,15.48,78.48
Andhra Pradesh,AP,State,Alluri Sitharama Raju,AP-ALL,17.9,82.2
Andhra Pradesh,AP,State,Anakapalli,AP-ANA,17.69,83.0
Andhra Pradesh,AP,State,Kakinada,AP-KAK,16.9891,82.2475
Andhra Pradesh,AP,State,Konaseema,AP-KON,16.57,82.0
Andhra Pradesh,AP,State,Eluru,AP-ELU,16.71,81.1
Andhra Pradesh,AP,State,Parvathipuram Manyam,AP-PAR,18.78,83.43
Arunachal Pradesh,AR,State,Tawang,AR-TAW,27.5861,91.8594
Arunachal Pradesh,AR,State,West Kameng,AR-WES,27.2645,92.4159
Arunachal Pradesh,AR,State,East Kameng,AR-EAS,27.3,93.0
Arunachal Pradesh,AR,State,Papum Pare,AR-PAP,27.15,93.62
Arunachal Pradesh,AR,State,Kurung Kumey,AR-KUR,27.9,93.5
Arunachal Pradesh,AR,State,Kra Daadi,AR-KRA,27.8,93.7
Arunachal Pradesh,AR,State,Lower Subansiri,AR-LOW,27.5,93.8
Arunachal Pradesh,AR,State,Upper Subansiri,AR-UPP,28.0,94.1
Arunachal Pradesh,AR,State,West Siang,AR-WES,28.17,94.55
Arunachal Pradesh,AR,State,East Siang,AR-EAS,28.07,95.33
Arunachal Pradesh,AR,State,Siang,AR-SIA,28.25,94.9
Arunachal Pradesh,AR,State,Upper Siang,AR-UPP,28.6,94.95
