partner_id,partner_name,partner_type,state,district,pincode,latitude,longitude,is_active,npa_ratio_percent,supported_scheme_ids,address_line,contact_phone
CP-TG-MAN-01,Telangana Grameena Bank - Nennel Branch,Regional Rural Bank,Telangana,Mancherial,504208,19.035,79.623,True,2.4,ALL,"Main Road, Nennel Mandal",040-0000-0001
CP-TG-MAN-02,Telangana Grameena Bank - Bellampalli Branch,Regional Rural Bank,Telangana,Mancherial,504208,19.0667,79.4833,True,2.9,ALL,"Bazar Area, Bellampalli",040-0000-0002
CP-TG-MAN-03,Telangana Grameena Bank - Dandepally Branch,Regional Rural Bank,Telangana,Mancherial,504208,18.9833,79.2333,True,3.1,ALL,"Near Bus Station, Dandepally",040-0000-0003
CP-TG-MAN-04,Telangana Grameena Bank - Kotapally Branch,Regional Rural Bank,Telangana,Mancherial,504208,18.895,79.805,True,2.7,ALL,"Village Road, Kotapally",040-0000-0004
CP-TG-MAN-05,Telangana Grameena Bank - Medariwada Branch,Regional Rural Bank,Telangana,Mancherial,504208,18.871,79.445,True,3.5,ALL,"Medariwada, Mancherial Town",040-0000-0005
CP-TG-MAN-06,Telangana Grameena Bank - Indaram Branch,Regional Rural Bank,Telangana,Mancherial,504208,18.845,79.528,True,3.8,ALL,"Indaram, Jaipur Mandal",040-0000-0006
CP-TG-MAN-07,State Bank of India - Mancherial Main Branch,Bank Branch,Telangana,Mancherial,504208,18.868,79.46,True,3.4,ALL,"Station Road, Mancherial",040-0000-0007
CP-TG-MAN-08,Union Bank of India - Mancherial Branch,Bank Branch,Telangana,Mancherial,504208,18.872,79.458,True,4.1,ALL,"Cinema Road, Mancherial",040-0000-0008
CP-TG-MAN-09,Telangana State SC Co-Op Dev Corp (TSSCCDC) - Mancherial District Office,State Channelizing Agency,Telangana,Mancherial,504208,18.875,79.452,True,2.2,ALL,"Collectorate Complex, Mancherial",040-0000-0009
CP-TG-KRM-01,Telangana Grameena Bank - Karimnagar Main Branch,Regional Rural Bank,Telangana,Karimnagar,505001,18.441,79.132,True,2.6,ALL,"Collectorate Road, Karimnagar",040-0000-0010
CP-TG-KRM-02,State Bank of India - Karimnagar Collectorate Branch,Bank Branch,Telangana,Karimnagar,505001,18.4386,79.1288,True,3.6,ALL,"Civil Lines, Karimnagar",040-0000-0011
CP-TG-KRM-03,Telangana State SC Co-Op Dev Corp (TSSCCDC) - Karimnagar District Office,State Channelizing Agency,Telangana,Karimnagar,505001,18.435,79.125,True,2.3,ALL,"Zilla Parishad Complex, Karimnagar",040-0000-0012
CP-TG-ADB-01,Telangana Grameena Bank - Adilabad Main Branch,Regional Rural Bank,Telangana,Adilabad,504001,19.6641,78.532,True,3.2,ALL,"Netaji Chowk, Adilabad",040-0000-0013
CP-TG-ADB-02,State Bank of India - Adilabad Branch,Bank Branch,Telangana,Adilabad,504001,19.666,78.53,True,4.0,ALL,"Collectorate Road, Adilabad",040-0000-0014
CP-TG-HYD-01,State Bank of India - Hyderabad Main Branch,Bank Branch,Telangana,Hyderabad,500001,17.395,78.476,True,3.3,ALL,"Bank Street, Koti, Hyderabad",040-0000-0015
CP-TG-HYD-02,Telangana State SC Co-Op Dev Corp (TSSCCDC) - Head Office,State Channelizing Agency,Telangana,Hyderabad,500001,17.401,78.455,True,2.1,ALL,"5th Floor, DSS Bhavan, Masab Tank, Hyderabad",040-0000-0016
CP-TG-HYD-03,Canara Bank - Abids Branch,Bank Branch,Telangana,Hyderabad,500001,17.391,78.478,True,3.8,ALL,"Abids Circle, Hyderabad",040-0000-0017
CP-TG-HYD-04,Telangana Grameena Bank - Head Office,Regional Rural Bank,Telangana,Hyderabad,500001,17.385,78.4867,True,2.8,ALL,"Head Office, Nampally, Hyderabad",040-0000-0018
CP-MH-NGP-01,Bank of Maharashtra - Sitabuldi Branch,Bank Branch,Maharashtra,Nagpur,440001,21.146,79.083,True,3.4,ALL,"Sitabuldi Main Road, Nagpur",040-0000-0019
CP-MH-NGP-02,Maharashtra State SC Commission & Dev Corp (MPBCDC) - Nagpur District Office,State Channelizing Agency,Maharashtra,Nagpur,440001,21.152,79.078,True,2.6,ALL,"Administrative Building, Civil Lines, Nagpur",040-0000-0020
CP-MH-NGP-03,Vidharbha Konkan Gramin Bank - Nagpur Main Branch,Regional Rural Bank,Maharashtra,Nagpur,440001,21.14,79.09,True,4.2,ALL,"Wardha Road, Nagpur",040-0000-0021
CP-MH-NGP-04,State Bank of India - Kingsway Branch,Bank Branch,Maharashtra,Nagpur,440001,21.155,79.087,True,3.7,ALL,"Kingsway, Nagpur",040-0000-0022
CP-LKO-01,State Bank of India - Hazratganj Branch,Bank Branch,Uttar Pradesh,Lucknow,226001,26.85,80.94,True,3.8,ALL,"Mahatma Gandhi Marg, Hazratganj, Lucknow",040-0000-0023
CP-LKO-02,UP Scheduled Caste Finance & Development Corp (UPSCFDC) - Head Office,State Channelizing Agency,Uttar Pradesh,Lucknow,226001,26.862,80.932,True,2.5,ALL,"Bapu Bhawan, Lucknow",040-0000-0024
CP-LKO-03,Aryavart Bank (Regional Rural Bank) - Gomti Nagar Branch,Regional Rural Bank,Uttar Pradesh,Lucknow,226001,26.839,80.925,True,4.9,ALL,"Vikas Khand, Gomti Nagar, Lucknow",040-0000-0025
CP-LKO-04,Overleveraged Financial Agency (Demo Filtered) - Stressed Branch,State Channelizing Agency,Uttar Pradesh,Lucknow,226001,26.845,80.942,True,12.5,ALL,"Alambagh, Lucknow",040-0000-0026
CP-LKO-05,Closed Regional Co-op Center (Demo Inactive) - Inactive Center,Regional Rural Bank,Uttar Pradesh,Lucknow,226001,26.852,80.938,False,3.0,ALL,"Aminabad, Lucknow",040-0000-0027
