scheme_id,scheme_name,implementing_agency,category_eligibility,min_age,max_age,min_income,max_income,min_loan,max_loan,purposes,business_status,interest_rate_annual,tenure_months_max,moratorium_months,moratorium_type,subsidy_note,is_active,description,source_note
SS-001,Shishu Micro Credit (Demo),Demo Micro Finance Cell,All,18,65,0,300000,10000,50000,All,Any,9.5,36,0,none,No collateral for micro loans under this demo scheme,true,Small ticket micro credit for first-time and existing micro-entrepreneurs.,Synthetic prototype record - not official scheme terms
SS-002,Kishor Growth Credit (Demo),Demo Micro Finance Cell,All,18,65,0,600000,50001,500000,Manufacturing|Services|Trading|Retail|Working Capital,Any,10.5,60,3,interest_only,Collateral-free up to configured limit,true,Growth-stage working capital and term credit for small businesses.,Synthetic prototype record - not official scheme terms
SS-003,Tarun Expansion Credit (Demo),Demo Micro Finance Cell,All,21,65,0,1200000,500001,1000000,Manufacturing|Services|Trading|Retail|Working Capital|Transport,Existing,11.0,84,6,interest_only,Partial credit guarantee cover in demo configuration,true,Expansion credit for established small enterprises with a track record.,Synthetic prototype record - not official scheme terms
SS-004,SC/ST Venture Term Loan (Demo),Demo Social Justice Finance Corp,SC|ST,18,60,0,800000,100000,2500000,Manufacturing|Services|Trading|Transport|Agriculture-allied,Any,7.5,84,12,capitalized,Interest subvention of 2% in demo configuration,true,Term loan for SC/ST entrepreneurs setting up or scaling a venture.,Synthetic prototype record - not official scheme terms
SS-005,Nari Vikas Enterprise Loan (Demo),Demo Women Development Corp,Women,18,60,0,600000,50000,1500000,Manufacturing|Services|Trading|Retail|Working Capital,Any,7.0,72,6,interest_only,Processing fee waiver in demo configuration,true,Enterprise credit for women-led businesses across sectors.,Synthetic prototype record - not official scheme terms
SS-006,Yuva Startup Credit (Demo),Demo Youth Enterprise Mission,All,18,35,0,500000,100000,1000000,Manufacturing|Services|Trading,New,8.5,60,6,interest_only,Mentoring support bundled in demo configuration,true,Startup credit for young first-time entrepreneurs.,Synthetic prototype record - not official scheme terms
SS-007,OBC Udyam Sahay Loan (Demo),Demo Backward Classes Finance Corp,OBC,18,55,0,300000,50000,1500000,Manufacturing|Services|Trading|Retail|Transport|Agriculture-allied,Any,6.0,72,6,interest_only,Concessional rate for income under configured ceiling,true,Concessional enterprise loan for OBC applicants below the income ceiling.,Synthetic prototype record - not official scheme terms
SS-008,Kisan Allied Enterprise Loan (Demo),Demo Rural Credit Agency,All,18,65,0,500000,25000,1000000,Agriculture-allied,Any,7.0,60,6,capitalized,Seasonal repayment holiday in demo configuration,true,Credit for dairy poultry fisheries and other agriculture-allied enterprises.,Synthetic prototype record - not official scheme terms
SS-009,Green Transport Vehicle Loan (Demo),Demo Transport Finance Cell,All,21,60,120000,1500000,200000,2000000,Transport,Any,9.0,60,1,interest_only,Preferential rate for electric vehicles in demo configuration,true,Commercial vehicle and e-mobility loans for transport operators.,Synthetic prototype record - not official scheme terms
SS-010,Kaushal Skill Education Loan (Demo),Demo Skill Finance Cell,All,16,40,0,450000,5000,150000,Skill/Education,New,0,36,6,interest_only,Zero interest for skill courses in demo configuration,true,Zero-interest credit for certified skill and vocational training.,Synthetic prototype record - not official scheme terms
SS-011,ST Van Dhan Enterprise Credit (Demo),Demo Tribal Development Finance,ST,18,60,0,400000,25000,1000000,Agriculture-allied|Manufacturing|Trading,Any,5.5,72,12,capitalized,Highest concession band in demo configuration,true,Enterprise credit for tribal artisans and forest-produce entrepreneurs.,Synthetic prototype record - not official scheme terms
SS-012,Retail Working Capital Line (Demo),Demo Cooperative Credit Federation,All,21,65,150000,2500000,100000,3000000,Retail|Trading|Working Capital,Existing,12.0,48,0,none,Standard rate; no subsidy component,true,Revolving working capital for established retail and trading units.,Synthetic prototype record - not official scheme terms
SS-013,Legacy Artisan Credit Card (Demo),Demo Handicrafts Board,All,18,65,0,300000,10000,200000,Manufacturing,Any,8.0,36,0,none,Discontinued in demo configuration,false,Discontinued artisan credit line retained to demonstrate active-status filtering.,Synthetic prototype record - not official scheme terms
SS-014,Old Women SHG Bridge Loan (Demo),Demo SHG Federation,Women,18,60,0,200000,10000,100000,All,Any,7.0,24,0,none,Superseded by Nari Vikas in demo configuration,false,Superseded scheme retained to demonstrate active-status filtering.,Synthetic prototype record - not official scheme terms
